Entity,Code,Year,"Indicator:Alcohol, consumers past 12 months (%) - Sex:Both sexes"
Afghanistan,AFG,2016,0.7
Albania,ALB,2016,51
Algeria,DZA,2016,3.2
Andorra,AND,2016,74.6
Angola,AGO,2016,47.7
Antigua and Barbuda,ATG,2016,49.4
Argentina,ARG,2016,67.4
Armenia,ARM,2016,26
Australia,AUS,2016,79.4
Austria,AUT,2016,78.1
Azerbaijan,AZE,2016,21.9
Bahamas,BHS,2016,43.8
Bahrain,BHR,2016,8.8
Bangladesh,BGD,2016,2.2
Barbados,BRB,2016,50.5
Belarus,BLR,2016,73.6
Belgium,BEL,2016,76.5
Belize,BLZ,2016,41.5
Benin,BEN,2016,26.1
Bhutan,BTN,2016,29.6
Bolivia,BOL,2016,45.4
Bosnia and Herzegovina,BIH,2016,47.9
Botswana,BWA,2016,32
Brazil,BRA,2016,40.3
Brunei,BRN,2016,33.3
Bulgaria,BGR,2016,66
Burkina Faso,BFA,2016,36.9
Burundi,BDI,2016,31.6
Cambodia,KHM,2016,30.9
Canada,CAN,2016,64.5
Central African Republic,CAF,2016,37.6
Chad,TCD,2016,22.4
Chile,CHL,2016,67.6
China,CHN,2016,55.9
Colombia,COL,2016,38.3
Comoros,COM,2016,4.1
Congo,COG,2016,51.7
Cook Islands,COK,2016,50.6
Costa Rica,CRI,2016,36.6
Cote d'Ivoire,CIV,2016,38.5
Croatia,HRV,2016,59.7
Cuba,CUB,2016,46.1
Cyprus,CYP,2016,68.8
Czechia,CZE,2016,75.4
Democratic Republic of Congo,COD,2016,36.4
Denmark,DNK,2016,74.4
Djibouti,DJI,2016,19.7
Dominica,DMA,2016,45.2
Dominican Republic,DOM,2016,43
Ecuador,ECU,2016,46.5
Egypt,EGY,2016,2.8
El Salvador,SLV,2016,29.4
Equatorial Guinea,GNQ,2016,72.9
Eritrea,ERI,2016,20.3
Estonia,EST,2016,72.8
Eswatini,SWZ,2016,28.8
Ethiopia,ETH,2016,22.6
Fiji,FJI,2016,17.7
Finland,FIN,2016,72.5
France,FRA,2016,75.3
Gabon,GAB,2016,66.5
Gambia,GMB,2016,26.7
Georgia,GEO,2016,35.1
Germany,DEU,2016,79.4
Ghana,GHA,2016,26
Greece,GRC,2016,65.4
Grenada,GRD,2016,49.6
Guatemala,GTM,2016,27.3
Guinea,GIN,2016,21.6
Guinea-Bissau,GNB,2016,28.8
Guyana,GUY,2016,39.1
Haiti,HTI,2016,35.1
Honduras,HND,2016,29.8
Hungary,HUN,2016,66.6
Iceland,ISL,2016,71.5
India,IND,2016,38.8
Indonesia,IDN,2016,22.7
Iran,IRN,2016,3.5
Iraq,IRQ,2016,3.1
Ireland,IRL,2016,81.3
Israel,ISR,2016,55
Italy,ITA,2016,67.8
Jamaica,JAM,2016,34.9
Japan,JPN,2016,57
Jordan,JOR,2016,3
Kazakhstan,KAZ,2016,39.9
Kenya,KEN,2016,23.9
Kiribati,KIR,2016,12.1
Kuwait,KWT,2016,0.6
Kyrgyzstan,KGZ,2016,25.9
Laos,LAO,2016,40
Latvia,LVA,2016,75
Lebanon,LBN,2016,6.1
Lesotho,LSO,2016,17.8
Liberia,LBR,2016,30.8
Libya,LBY,2016,0.1
Lithuania,LTU,2016,79.1
Luxembourg,LUX,2016,91.8
Madagascar,MDG,2016,20.9
Malawi,MWI,2016,23.7
Malaysia,MYS,2016,29.6
Maldives,MDV,2016,7.9
Mali,MLI,2016,21.9
Malta,MLT,2016,63
Mauritania,MRT,2016,0.9
Mauritius,MUS,2016,31.2
Mexico,MEX,2016,42.7
Micronesia (country),FSM,2016,15.2
Moldova,MDA,2016,66.6
Mongolia,MNG,2016,33.6
Montenegro,MNE,2016,54
Morocco,MAR,2016,2.6
Mozambique,MOZ,2016,21
Myanmar,MMR,2016,27.1
Namibia,NAM,2016,30.3
Nauru,NRU,2016,22
Nepal,NPL,2016,27.1
Netherlands,NLD,2016,72.1
New Zealand,NZL,2016,74.6
Nicaragua,NIC,2016,32.5
Niger,NER,2016,20.2
Nigeria,NGA,2016,52.6
Niue,NIU,2016,33.2
North Korea,PRK,2016,40.3
North Macedonia,MKD,2016,53.7
Norway,NOR,2016,79
Oman,OMN,2016,8.3
Pakistan,PAK,2016,1.2
Panama,PAN,2016,47.7
Papua New Guinea,PNG,2016,13.7
Paraguay,PRY,2016,36
Peru,PER,2016,53.2
Philippines,PHL,2016,33.1
Poland,POL,2016,68
Portugal,PRT,2016,69.2
Qatar,QAT,2016,45.6
